"","Code","Year","TFR","C","W15","W20","W25","W30","W35","W40","W45","W","iTFR","p2534","qx","lagTFR","CWR","mult","p15","p20","p25","p30","p35","p40","p45","decade","xTFR","zTFR"
"35","AUT",1997,1.393,461292,226223,254409,322163,346745,314773,270509,259448,1994270,1.61916089596695,0.335414963871492,0.00458,1.4456,0.231308699423849,6.2496568594296,0.113436495559779,0.127569988015665,0.161544324489663,0.173870639381829,0.157838707898128,0.135643117531728,0.130096727123208,"1990",1.50364768603957,1.484067514108
"36","AUT",1998,1.37,449613,231072,243395,311442,346300,323406,278626,255656,1989897,1.58163512985848,0.330540726479813,0.00479,1.4194,0.225947875694069,6.28197983999573,0.116122593279954,0.122315376122483,0.156511618440552,0.17402910803926,0.162523989935157,0.140020312609145,0.128477001573448,"1990",1.48174057761838,1.46794535230195
"37","AUT",2004,1.419,394885,235546,252296,253931,307257,348578,334698,287355,2019661,1.3686430544532,0.277862472959571,0.00453,1.3768,0.195520436350457,7.04171914557403,0.116626503160679,0.124919974193689,0.125729515993031,0.15213295696654,0.172592331089227,0.165719890615306,0.142278827981528,"2000",1.40323108187582,1.37767697431831
"38","AUT",2005,1.408,397723,237055,259209,252376,297345,346485,343691,298051,2034212,1.36861890501088,0.270237811988131,0.00416,1.3856,0.195516986430126,7.08685227457301,0.116534068228877,0.127424771852688,0.12406573159533,0.146172080392801,0.17032885461299,0.168955349786551,0.146519143530763,"2000",1.42072394919186,1.39239996038793
"39","AUT",2007,1.385,399333,241659,258398,261030,279734,334465,352450,316459,2044195,1.36744831094881,0.264536406751802,0.00364,1.3994,0.195349758706973,7.16356144621156,0.118217195521954,0.126405748962305,0.127693297361553,0.136843109390249,0.163616973918829,0.172415058250314,0.154808616594796,"2000",1.43259654042522,1.40724645794191
"40","AUT",2008,1.417,396093,243673,256950,268256,271832,325549,352731,325906,2044897,1.35588785156416,0.264115014105845,0.00374,1.4076,0.193698264509166,7.26697269883588,0.119161502999907,0.125654250556385,0.131183135385303,0.132931878720542,0.159200683457406,0.172493284502838,0.159375264377619,"2000",1.42144445749845,1.3987082326776
"41","AUT",2009,1.396,396283,244726,257312,273291,266918,313424,351554,336284,2043509,1.35745964417088,0.264353619191303,0.00376,1.403,0.193922806310126,7.23483754539054,0.119757730452863,0.12591674418855,0.133736137203213,0.13061748198809,0.153375394970122,0.172034475992031,0.16456203520513,"2000",1.42254852120982,1.40228694621086
"42","AUT",2011,1.431,393186,241074,258683,276964,263653,292754,342229,349600,2024957,1.35919034330112,0.266977027166503,0.00359,1.4144,0.194170049043017,7.28433662643126,0.119051416894285,0.12774740401895,0.136775250042347,0.130201777124156,0.144572946487259,0.169005564068768,0.172645641364236,"2010",1.41837645921229,1.39991399348558
"43","AUT",2012,1.44,393699,237509,261003,275403,269690,283454,335611,352351,2015021,1.36767458006641,0.270514798605077,0.00323,1.4254,0.19538208286663,7.29544889217397,0.117869243050072,0.129528674887259,0.136675002394516,0.133839796210561,0.140670494252914,0.166554591738746,0.174862197465932,"2010",1.41910773608995,1.40101367932213
"44","AUT",2014,1.464,399504,228834,267430,277369,283973,272964,316726,352873,2000169,1.39814585667511,0.280647285304392,0.00312,1.4428,0.199735122382159,7.22356680583924,0.114407332580397,0.133703702037178,0.138672782149908,0.141974503154483,0.136470468245433,0.158349619457156,0.176421592375444,"2010",1.42694334295658,1.40584819350921
"45","BLR",1965,2.241,893552.22,320636.37,285742.46,394805.87,374151,385456.05,301813.2,192520.75,2255125.7,2.77362168326138,0.340981821988903,0.02268,NA,0.39623166903734,NA,0.142181152030683,0.126707996809224,0.175070449509755,0.165911372479148,0.170924418980281,0.133834313537378,0.0853702966535302,"1960",2.54982794441194,2.5607548541411
"46","BLR",1967,2.286,819865.72,361805.37,238825.24,372600.95,369808.48,386552.71,356749.31,207955.61,2294297.67,2.50144526363922,0.323588974398427,0.02045,NA,0.357349323377032,NA,0.157697658299065,0.10409514123771,0.162403054700396,0.161185919698031,0.168484113920579,0.155493907641025,0.0906402045031933,"1960",2.3726479608487,2.4458291674985
