"","Code","Year","TFR","C","W15","W20","W25","W30","W35","W40","W45","W","iTFR","p2534","qx","lagTFR","CWR","mult","p15","p20","p25","p30","p35","p40","p45","decade"
"37","AUT",1987,1.432,447961,293316,326873,304093,262403,257311,233529,258920,1936445,1.61932148860412,0.29254432736277,0.00973,1.4872,0.23133164122916,6.42886546819924,0.151471381836303,0.168800559788685,0.157036734841423,0.135507592521347,0.132878031650783,0.120596763657114,0.133708935704345,"1980"
"38","AUT",1988,1.447,441200,280825,322831,310700,270331,252310,238499,270288,1945784,1.58722653696402,0.298610226006587,0.00815,1.4648,0.226746648137717,6.46007344333636,0.144324858257648,0.165913071543398,0.15967856658293,0.138931659423656,0.129670096989183,0.122572186840883,0.138909560362301,"1980"
"39","AUT",1989,1.446,440612,266850,319930,319061,278828,249140,242130,277681,1953620,1.5787532887665,0.306041604815675,0.00828,1.4496,0.225536184109499,6.42735003132007,0.136592581976024,0.163762655992465,0.163317840726446,0.142723764089229,0.127527359466017,0.123939148862112,0.142136648887706,"1980"
"40","AUT",1990,1.457,443189,256295,318158,328269,289422,251144,243214,268311,1954813,1.58701778635604,0.315984700326834,0.00784,1.4462,0.226716826622291,6.37888250971933,0.131109727631236,0.162756232949136,0.167928594704455,0.148056105622379,0.128474692975748,0.124418038963318,0.137256607153728,"1990"
"41","AUT",1991,1.507,449804,248383,314416,335644,300651,256551,255656,244919,1956220,1.60954698346812,0.325267607937757,0.0076,1.4578,0.229935283352588,6.34004481062863,0.126970892844363,0.160726298678063,0.171577838893376,0.153689769044382,0.131146292339307,0.130688777335882,0.125200130864627,"1990"
"42","AUT",1992,1.505,460519,239952,310909,341341,311757,268506,259879,233643,1965987,1.63970209365576,0.332198534374846,0.00754,1.4724,0.234243156236537,6.2857759588638,0.122051671755714,0.158143975519675,0.173623223347865,0.15857531102698,0.136575674203339,0.132187547527018,0.118842596619408,"1990"
"43","AUT",1993,1.501,470159,233656,304522,344837,323806,279168,257161,239522,1982672,1.6599382046047,0.337243376614992,0.00649,1.4832,0.237134029229242,6.25469066932676,0.11784904411824,0.153591718650387,0.17392538957528,0.163317987039712,0.140803925208002,0.129704257688614,0.120807677719764,"1990"
"44","AUT",1994,1.465,473963,228436,291958,344147,334519,289212,255233,243532,1987037,1.66969261266901,0.341546735163965,0.00617,1.487,0.238527516095573,6.2340816034163,0.114963133550105,0.146931335450724,0.173196070329843,0.168350664834122,0.145549378295422,0.128449042468761,0.122560375071023,"1990"
"45","AUT",1995,1.423,473169,223293,277895,339279,341471,298360,256129,244577,1981004,1.67197188900174,0.343638882102207,0.00531,1.4802,0.238853127000248,6.19711376019984,0.112717086891294,0.140279878283941,0.171266186236878,0.172372695865329,0.150610498514894,0.129292520358364,0.123461133849301,"1990"
"46","AUT",1996,1.446,469332,222796,266751,330692,345083,307120,260495,256292,1989229,1.65155645730079,0.339717046152052,0.00506,1.468,0.235936636757256,6.22200951991341,0.112001182367641,0.134097683072185,0.166241292480655,0.173475753671397,0.154391475290175,0.130952746013657,0.12883986710429,"1990"
"47","AUT",1997,1.393,461292,226223,254409,322163,346745,314773,270509,259448,1994270,1.61916089596695,0.335414963871492,0.00458,1.4456,0.231308699423849,6.2496568594296,0.113436495559779,0.127569988015665,0.161544324489663,0.173870639381829,0.157838707898128,0.135643117531728,0.130096727123208,"1990"
"48","AUT",1998,1.37,449613,231072,243395,311442,346300,323406,278626,255656,1989897,1.58163512985848,0.330540726479813,0.00479,1.4194,0.225947875694069,6.28197983999573,0.116122593279954,0.122315376122483,0.156511618440552,0.17402910803926,0.162523989935157,0.140020312609145,0.128477001573448,"1990"
"49","AUT",1999,1.34,436925,234263,236640,297569,344078,332845,287317,253284,1985996,1.54002072511727,0.323085746396267,0.00424,1.3944,0.220002960731039,6.3380965209132,0.117957437980741,0.119154318538406,0.149833635113062,0.173252111283205,0.167596007242713,0.144671489771379,0.127535000070494,"1990"
"50","AUT",2000,1.364,424501,237568,231886,285220,340791,340649,297210,254612,1987936,1.49476995235259,0.314905007002238,0.00478,1.3826,0.213538564621799,6.47470868996775,0.119504853274955,0.11664661236579,0.143475443877469,0.171429563124769,0.171358132253755,0.149506825169422,0.128078569933841,"2000"
"51","AUT",2001,1.331,414486,237102,231496,274988,333964,345630,306437,259249,1988866,1.45882226354113,0.306180506881811,0.00476,1.3596,0.208403180505876,6.5238927577771,0.119214668057074,0.116395976400622,0.138263714096375,0.167916792785437,0.173782446881791,0.154076242441673,0.130350159337029,"2000"
"52","AUT",2002,1.394,400978,235420,236895,264940,327188,348707,314838,269718,1997706,1.40503457465713,0.296403975359738,0.00417,1.3598,0.200719224951019,6.77463755817027,0.117845168408164,0.11858351529204,0.132622117568851,0.163781857790886,0.174553713108936,0.157599766932672,0.135013860898451,"2000"
"53","AUT",2003,1.376,397513,234201,245321,257350,318659,349274,324093,277904,2006802,1.38657974229645,0.287028316694921,0.00443,1.361,0.198082820328064,6.87086339817817,0.116703591086714,0.122244745620146,0.12823885963837,0.158789457056551,0.174045072707721,0.161497247860028,0.13848102603047,"2000"
"54","AUT",2004,1.419,394885,235546,252296,253931,307257,348578,334698,287355,2019661,1.3686430544532,0.277862472959571,0.00453,1.3768,0.195520436350457,7.04171914557403,0.116626503160679,0.124919974193689,0.125729515993031,0.15213295696654,0.172592331089227,0.165719890615306,0.142278827981528,"2000"
"55","AUT",2005,1.408,397723,237055,259209,252376,297345,346485,343691,298051,2034212,1.36861890501088,0.270237811988131,0.00416,1.3856,0.195516986430126,7.08685227457301,0.116534068228877,0.127424771852688,0.12406573159533,0.146172080392801,0.17032885461299,0.168955349786551,0.146519143530763,"2000"
"56","AUT",2006,1.409,398332,239394,260771,255461,289274,341421,349707,308349,2044377,1.36389912428089,0.26645525751855,0.0036,1.4012,0.194842732040128,7.19144093971863,0.117098754290427,0.127555240545164,0.124957872251547,0.141497385267003,0.167004911520722,0.171057980010536,0.150827856114601,"2000"
